Game,AppId
Marfusha,1456820
神明的一天世界-God's One Day World,490390
! That Bastard Is Trying To Steal Our Gold !,449940
!Anyway!,866510
#Archery,493790
#KILLALLZOMBIES,303720
#monstercakes,614910
#SelfieTennis,392190
$1 Ride,508290
,562280
"""Glow Ball"" - The billiard puzzle game",388390
'n Verlore Verstand,439550
- Arcane Raise -,603750
---Red---Tether-->,1714080
.hack//G.U. Last Recode,525480
001 Game Creator,347400
0RBITALIS,278440
1 Moment Of Time: Silentville,497400
"1,000 Heads Among the Trees",406730
10 Second Ninja,271670
10 Second Ninja X,435790
"10,000,000",227580
100 Asian Cats,2667970
100 Christmas Cats,2687190
100 hidden birds,1473050
100 hidden birds 2,1766790
100 hidden cats,1587560
100 hidden cats 2,1679320
100 hidden dogs,1773890
100 hidden eternals,1480120
100 hidden fish,1841390
100 hidden hares,1932230
100 hidden mice,1522560
100 hidden mushrooms,1573750
100 hidden snails,1446330
100 hidden snails 2,1549030
100 hidden turtles,2013900
100 nya,553830
100% Orange Juice,282800
1000 days to escape,1103100
100ft Robot Golf,368000
101 Ways to Die,413480
11-11 Memories Retold,735580
112 Operator,793460
1166,581810
12 is Better Than 6,410110
12 Labours of Hercules,342580
12 Labours of Hercules II: The Cretan Bull,360640
12 Labours of Hercules III: Girl Power,360650
12 Labours of Hercules IV: Mother Nature,396800
12 Labours of Hercules V: Kids of Hellas,491330
12 Labours of Hercules VI: Race for Olympus,567800
12 Labours of Hercules VII: Fleecing the Fleece,663210
12 orbits,529950
140,242820
16bit Trader,375460
1775: Rebellion,422610
1849,290970
1914: Prelude to Chaos,627950
1917 - The Alien Invasion DX,470060
1931: Scheherazade at the Library of Pergamum,334850
1943 Deadly Desert,616750
1943 Megami Strike,440810
1953: NATO vs Warsaw Pact,325470
1954 Alcatraz,255280
1979 Invasion Earth,575880
1979 Revolution: Black Friday,388320
1993 Space Machine,373480
1bitHeart,618720
1Heart,270190
1Quest,332710
2 Ninjas 1 Cup,576810
200% Mixed Juice!,335190
2064: Read Only Memories,330820
20XX,322110
21 Days,607660
24 Killers,1668310
2Dark,435100
2MD VR Football Classic,674850
3 Coins At School,462110
3 Minutes to Midnight,832500
3 Stars of Destiny,278530
3001: A MILF Odyssey,2271750
303 Squadron: Battle of Britain,675170
3030 Deathwar Redux - A Space Odyssey,464360
3079 -- Block Action RPG,259620
3089 -- Futuristic Action RPG,263360
35MM,466500
365 Days,576390
39 Days to Mars,504920
3D Arcade Fishing,534910
3D Chess,535700
3D Custom Lady Maker,985760
3D Paraglider,367990
3D ParticleGen Visual FX,279740
3DF Zephyr Lite Steam Edition,438450
3DMark,223850
3DRPG,431840
3on3 FreeStyle,624910
3on3 FreeStyle: Rebound,1292630
3SwitcheD,206610
404Sight,361630
4089: Ghost Within,329770
420BLAZEIT2: GAME OF THE YEAR -=Dank Dreams and Goated Memes=- [#wow/11 Like and Subscribe] Poggerz Edition,2624280
428 Shibuya Scramble,648580
4D Toys,619210
4Team,534320
5 Minutes Rage,416700
50 years,502740
500 Years Act 1,357200
5089: The Action RPG,414510
6 Nights,381000
60 Parsecs!,646270
60 Seconds!,368360
60 Seconds! Reatomized,1012880
6180 the moon,299660
63 Days,2202120
64.0,578850
69 Ways to Kill a Zombie,512410
7 Billion Humans,792100
7 Days to Die,251570
7 days with Death,617820
7 Girls War,1279270
"7 Grand Steps, Step 1: What Ancients Begat",238930
7 Sexy Sins,1023740
"7,62 High Calibre",289890
7th Sector,749250
8-Bit Adventures 1: The Forgotten Journey Remastered Edition,370300
8-Bit Adventures 2,733110
8-Bit Armies,427250
8-Bit Hordes,497850
8-Bit Invaders!,531680
88 Heroes,487040
8Bit Fiesta,382260
8BitMMO,250420
8Doors: Arum's Afterlife Adventure,668550
8infinity,526540
9 Clues 2: The Ward,369420
9 Clues: The Secret of Serpent Creek,284870
9 Monkeys of Shaolin,739080
9-Bit Armies: A Bit Too Far,1439750
9-nine-:Episode 1,976390
9-nine-:Episode 2,1033420
911 Operator,503560
99 Levels To Hell,264280
99 Spirits,258090
99 Waves to Die,360600
99Vidas,557040
:THE LONGING:,893850
[NINJA GAIDEN: Master Collection] NINJA GAIDEN 3: Razor's Edge,1369760
[NINJA GAIDEN: Master Collection] NINJA GAIDEN Σ,1580780
[NINJA GAIDEN: Master Collection] NINJA GAIDEN Σ2,1580790
[Old Edition] Croixleur Sigma,250640
[TDA00] Muv-Luv Unlimited: THE DAY AFTER - Episode 00 REMASTERED,1407100
[TDA01] Muv-Luv Unlimited: THE DAY AFTER - Episode 01 REMASTERED,1407090
[TDA02] Muv-Luv Unlimited: THE DAY AFTER - Episode 02 REMASTERED,1342410
