"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added","AppId"
"Sakura no Mori † Dreamers 2","0","0","7","0","3.06","3.06","0.45","0.00","100.0","0.28","1.70","29","1.59","2019-07-07","983150"
"神明的一天世界-God's One Day World","0","0","5","0","5.10","5.10","1.02","0.91","11.1","0.23","1.64","20","2.66","2016-07-02","490390"
"! That Bastard Is Trying To Steal Our Gold !","0","0","5","0","6.06","6.06","1.19","1.47","-23.8","0.17","0.23","58","3.12","2017-04-01","449940"
"!Anyway!","0","0","5","0","5.55","5.55","1.13","1.25","-10.0","0.85","0.17","28","2.95","2018-08-16","866510"
"#Archery","0","0","5","0","10.48","10.48","2.10","1.87","10.8","8.61","0.40","25","5.50","2017-04-11","493790"
"#KILLALLZOMBIES","0","0","5","0","6.29","6.29","1.25","0.79","36.4","0.17","0.17","35","3.23","2016-07-21","303720"
"#monstercakes","0","0","5","0","4.65","4.65","0.91","0.62","31.3","0.17","0.17","142","2.38","2017-05-05","614910"
"#SelfieTennis","0","0","10","0","7.37","7.37","0.74","2.04","-176.9","6.80","0.45","36","3.23","2017-04-12","392190"
"$1 Ride","0","0","5","0","3.34","3.34","0.68","0.45","33.3","0.17","0.17","106","1.76","2016-07-29","508290"
"","0","0","7","0","5.61","5.61","0.79","0.96","-21.4","5.50","0.96","35","2.78","2017-04-19","562280"
"""Glow Ball"" - The billiard puzzle game","0","0","5","0","4.19","4.19","0.85","1.42","-66.7","0.17","0.17","30","2.21","2017-04-13","388390"
"'n Verlore Verstand","0","0","6","0","2.38","2.38","0.40","0.45","-14.3","0.45","0.28","240","1.02","2018-05-15","439550"
"- Arcane preRaise -","0","0","5","0","0.00","0.00","0.00","0.00","","0.00","0.00","0","0.00","2017-03-21","603780"
"- Arcane Raise -","0","0","5","0","4.87","4.87","0.96","0.96","0.0","0.23","6.57","62","2.49","2017-03-13","603750"
"- Arcane RERaise -","0","0","5","0","0.00","0.00","0.00","0.00","","0.00","0.00","0","0.00","2017-03-21","603770"
"---Red---Tether-->","0","0","9","0","16.38","16.38","1.81","1.87","-3.1","12.35","18.08","22","7.88","2024-07-20","1714080"
"-The Sacrificial Girl of the Fantasy 3 Kingdoms-","0","0","6","0","6.74","6.74","1.13","1.36","-20.0","0.85","8.61","21","2.95","2022-05-15","1240480"
".atorb.","0","0","7","0","0.00","0.00","0.00","0.00","","0.00","0.00","0","0.00","2016-05-06","467530"
".hack//G.U. Last Recode","0","0","8","0","2.61","2.61","0.34","0.45","-33.3","0.45","0.28","109","1.19","2017-11-03","525480"
"001 Game Creator","0","0","8","0","6.63","6.63","0.85","1.87","-120.0","244.64","5.72","24","2.95","2024-08-27","347400"
"0RBITALIS","0","0","6","0","13.60","13.60","2.27","1.08","52.5","1.02","2.38","21","5.89","2014-11-10","278440"
"1 Moment Of Time: Silentville","0","0","10","0","3.97","3.97","0.40","0.34","14.3","0.51","0.17","37","1.70","2016-07-22","497400"
"1 vs 1 : Global Operations","0","0","9","0","0.00","0.00","0.00","0.00","","0.00","0.00","0","0.00","2017-05-26","628340"
"1,000 Heads Among the Trees","0","0","5","0","3.29","3.29","0.68","0.62","8.3","0.17","0.17","43","1.76","2015-12-12","406730"
"1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby)","0","0","6","0","0.00","0.00","0.00","0.00","","0.00","0.00","0","0.00","2013-06-11","15540"
"10 Second Ninja","0","0","5","0","5.89","5.89","1.19","0.85","28.6","1.53","0.62","13","3.12","2014-03-17","271670"
"10 Second Ninja X","0","0","9","0","3.00","3.00","0.34","0.28","16.7","0.17","0.17","103","1.47","2016-07-22","435790"
"10,000,000","0","0","6","0","2.72","2.72","0.45","0.40","12.5","0.17","10.43","37","1.19","2014-10-28","227580"
"100 Asian Cats","0","0","5","0","4.99","4.99","1.02","1.13","-11.1","4.65","0.57","47","2.66","2024-01-28","2667970"
"100 Christmas Cats","0","0","5","0","6.23","6.23","1.25","1.08","13.6","2.15","1.08","28","3.23","2024-05-22","2687190"
"100 hidden birds","0","0","5","0","3.46","3.46","0.68","0.57","16.7","0.34","0.17","67","1.76","2023-08-10","1473050"
"100 hidden birds 2","0","0","5","0","2.66","2.66","0.51","0.28","44.4","0.17","0.17","39","1.30","2023-06-23","1766790"
"100 hidden cats","0","0","5","0","3.00","3.00","0.62","0.45","27.3","0.17","0.17","108","1.64","2022-03-20","1587560"
"100 hidden cats 2","0","0","5","0","3.00","3.00","0.62","0.34","45.5","0.17","0.17","82","1.64","2022-07-18","1679320"
"100 hidden dogs","0","0","5","0","3.91","3.91","0.79","1.02","-28.6","0.40","0.17","45","2.10","2024-03-15","1773890"
"100 hidden eternals","0","0","5","0","2.78","2.78","0.57","0.68","-20.0","0.17","0.17","65","1.47","2022-08-23","1480120"
"100 hidden fish","0","0","5","0","3.17","3.17","0.62","0.68","-9.1","0.96","5.44","41","1.64","2024-09-27","1841390"
"100 hidden hares","0","0","5","0","4.31","4.31","0.85","0.79","6.7","3.00","0.17","27","2.21","2024-03-15","1932230"
"100 hidden mice","0","0","5","0","2.61","2.61","0.51","0.96","-88.9","0.96","0.17","41","1.30","2024-07-18","1522560"
"100 hidden mushrooms","0","0","5","0","2.44","2.44","0.51","0.62","-22.2","0.68","0.74","56","1.30","2024-07-28","1573750"
"100 hidden snails","0","0","5","0","2.78","2.78","0.57","0.45","20.0","1.02","0.28","58","1.47","2024-03-20","1446330"
"100 hidden snails 2","0","0","5","0","2.78","2.78","0.57","0.34","40.0","0.17","0.23","79","1.47","2022-12-06","1549030"
"100 hidden turtles","0","0","5","0","3.74","3.74","0.74","0.91","-23.1","0.34","0.28","23","1.93","2023-11-24","2013900"
"100 nya","0","0","5","0","13.71","13.71","2.72","7.99","-193.8","2.27","1.87","20","7.08","2016-12-07","553830"
"100% Orange Juice","0","0","8","0","2.89","2.89","0.34","0.34","0.0","0.23","0.17","612","1.19","2014-05-16","282800"
"1000 days to escape","0","0","5","0","2.72","2.72","0.57","0.68","-20.0","0.40","1.81","25","1.47","2019-08-21","1103100"
"100ft Robot Golf","0","0","6","0","4.25","4.25","0.68","0.00","100.0","524.25","0.62","32","1.76","2017-03-16","368000"
"101 Ways to Die","0","0","7","0","16.72","16.72","2.38","1.87","21.4","3.91","4.82","16","8.27","2016-04-15","413480"
"11-11 Memories Retold","0","0","12","0","3.17","3.17","0.28","0.23","20.0","0.28","0.28","160","1.47","2018-11-13","735580"
"112 Operator","0","0","5","0","1.81","1.81","0.34","0.28","16.7","0.23","0.23","1130","0.91","2020-05-07","793460"
"1166","0","0","7","0","3.51","3.51","0.51","0.57","-11.1","1.36","2.44","8","1.76","2017-03-27","581810"
"12 is Better Than 6","0","0","5","0","1.98","1.98","0.40","0.28","28.6","0.17","0.17","379","1.02","2015-11-25","410110"
"12 Labours of Hercules","0","0","5","0","2.61","2.61","0.51","0.51","0.0","0.28","0.17","34","1.30","2015-03-06","342580"
"12 Labours of Hercules II: The Cretan Bull","0","0","5","0","4.42","4.42","0.91","1.53","-68.8","0.28","0.17","22","2.38","2015-06-03","360640"
"12 Labours of Hercules III: Girl Power","0","0","5","0","2.49","2.49","0.51","0.40","22.2","0.17","0.23","24","1.30","2015-08-02","360650"
"12 Labours of Hercules IV: Mother Nature","0","0","7","0","2.83","2.83","0.40","0.34","14.3","0.57","0.17","29","1.36","2015-12-24","396800"
"12 Labours of Hercules V: Kids of Hellas","0","0","10","0","3.51","3.51","0.34","0.34","0.0","1.70","0.17","22","1.47","2016-06-18","491330"
"12 Labours of Hercules VI: Race for Olympus","0","0","7","0","3.06","3.06","0.45","0.57","-25.0","0.28","0.17","21","1.59","2017-01-04","567800"
"12 Labours of Hercules VII: Fleecing the Fleece","0","0","7","0","3.63","3.63","0.51","1.64","-222.2","0.23","0.17","17","1.76","2020-04-02","663210"
"12 orbits","0","0","5","0","3.23","3.23","0.62","1.47","-136.4","0.17","24.20","26","1.64","2017-01-08","529950"
